intervene_measure,cov,value
4.0,0.81,109252461.04385374
4.0,0.8200000000000001,109191057.89056972
4.0,0.8300000000000001,109129962.12468499
4.0,0.8400000000000001,109071615.94341192
4.0,0.85,109013107.30382042
4.0,0.86,108955600.66484655
4.0,0.87,108802700.5354241
4.0,0.88,108751191.521064
4.0,0.89,108700888.20077255
4.0,0.9,108651748.77047135
4.0,0.91,108603733.33687319
4.0,0.92,108556803.81006742
4.0,0.93,108510923.80117087
4.0,0.9400000000000001,108466058.52968499
4.0,0.9500000000000001,108422174.73550388
4.0,0.9600000000000001,108379240.5998363
4.0,0.97,108337225.65833446
4.0,0.98,108296100.5100244
4.0,0.99,108255837.18198854
4.0,1.0,108216409.14156839
