interv_measure,scene,object_value,min_coverage,year
13,2,1000,,1
13,2,1500,,1
13,2,2000,,1
13,2,2500,,1
13,3,500,,1
13,3,1000,,1
13,3,1500,,1
13,3,2000,,1
13,3,2500,,1
13,4,500,,1
13,4,1000,,1
13,4,1500,,1
13,4,2000,,1
13,4,2500,,1
13,5,500,,1
13,5,1000,,1
13,5,1500,,1
13,5,2000,,1
13,5,2500,,1
13,6,500,,1
13,6,1000,,1
13,6,1500,,1
13,6,2000,,1
13,6,2500,,1
13,1,500,,3
13,1,1000,,3
13,1,1500,0.542476195,3
13,1,2000,0,3
13,1,2500,0,3
13,2,500,,3
13,2,1000,,3
13,2,1500,,3
13,2,2000,,3
13,2,2500,,3
13,3,500,,3
13,3,1000,,3
13,3,1500,,3
13,3,2000,,3
13,3,2500,,3
13,4,500,,3
13,4,1000,,3
13,4,1500,,3
13,4,2000,,3
13,4,2500,,3
13,5,500,,3
13,5,1000,,3
13,5,1500,,3
13,5,2000,,3
13,5,2500,,3
13,6,500,,3
13,6,1000,,3
13,6,1500,,3
13,6,2000,,3
13,6,2500,,3
13,1,500,,5
13,1,1000,0.903158667,5
13,1,1500,0.364429778,5
13,1,2000,0,5
13,1,2500,0,5
13,2,500,,5
13,2,1000,,5
13,2,1500,,5
13,2,2000,,5
13,2,2500,0.71506009,5
13,3,500,,5
13,3,1000,,5
13,3,1500,,5
13,3,2000,,5
13,3,2500,,5
13,4,500,,5
13,4,1000,,5
13,4,1500,,5
13,4,2000,,5
13,4,2500,,5
13,5,500,,5
13,5,1000,,5
13,5,1500,,5
13,5,2000,,5
13,5,2500,,5
13,6,500,,5
13,6,1000,,5
13,6,1500,,5
13,6,2000,,5
13,6,2500,,5
14,1,500,,1
14,1,1000,,1
14,1,1500,,1
14,1,2000,0,1
14,1,2500,0,1
14,2,500,,1
14,2,1000,,1
14,2,1500,,1
14,2,2000,,1
14,2,2500,,1
14,3,500,,1
14,3,1000,,1
14,3,1500,,1
14,3,2000,,1
14,3,2500,,1
14,4,500,,1
14,4,1000,,1
14,4,1500,,1
14,4,2000,,1
14,4,2500,,1
14,5,500,,1
14,5,1000,,1
14,5,1500,,1
14,5,2000,,1
14,5,2500,,1
14,6,500,,1
14,6,1000,,1
14,6,1500,,1
14,6,2000,,1
14,6,2500,,1
14,1,500,,3
14,1,1000,,3
14,1,1500,0.653105106,3
14,1,2000,0,3
14,1,2500,0,3
14,2,500,,3
14,2,1000,,3
14,2,1500,,3
14,2,2000,,3
14,2,2500,,3
14,3,500,,3
14,3,1000,,3
14,3,1500,,3
14,3,2000,,3
14,3,2500,,3
14,4,500,,3
14,4,1000,,3
14,4,1500,,3
14,4,2000,,3
14,4,2500,,3
14,5,500,,3
14,5,1000,,3
14,5,1500,,3
14,5,2000,,3
14,5,2500,,3
14,6,500,,3
14,6,1000,,3
14,6,1500,,3
14,6,2000,,3
14,6,2500,,3
14,1,500,,5
14,1,1000,0.945198274,5
14,1,1500,0.454475196,5
14,1,2000,0,5
14,1,2500,0,5
14,2,500,,5
14,2,1000,,5
14,2,1500,,5
14,2,2000,,5
14,2,2500,0.78709624,5
14,3,500,,5
14,3,1000,,5
14,3,1500,,5
14,3,2000,,5
14,3,2500,,5
14,4,500,,5
14,4,1000,,5
14,4,1500,,5
14,4,2000,,5
14,4,2500,,5
14,5,500,,5
14,5,1000,,5
14,5,1500,,5
14,5,2000,,5
14,5,2500,,5
14,6,500,,5
14,6,1000,,5
14,6,1500,,5
14,6,2000,,5
14,6,2500,,5
23,1,500,0.252237887,1
23,1,1000,0.159409648,1
23,1,1500,0.094154364,1
23,1,2000,0,1
23,1,2500,0,1
23,2,500,0.655654185,1
23,2,1000,0.258452937,1
23,2,1500,0.206998826,1
23,2,2000,0.163308723,1
23,2,2500,0.135071756,1
23,3,500,,1
23,3,1000,0.567158726,1
23,3,1500,0.298654243,1
23,3,2000,0.246799462,1
23,3,2500,0.215738014,1
23,4,500,,1
23,4,1000,0.792044029,1
23,4,1500,0.362104278,1
23,4,2000,0.281479027,1
23,4,2500,0.238759181,1
23,5,500,,1
23,5,1000,,1
23,5,1500,0.865855113,1
23,5,2000,0.538139994,1
23,5,2500,0.349006496,1
23,6,500,,1
23,6,1000,,1
23,6,1500,,1
23,6,2000,0.914003557,1
23,6,2500,0.67167524,1
23,1,500,0.174025335,3
23,1,1000,0.102540782,3
23,1,1500,0.059471592,3
23,1,2000,0,3
23,1,2500,0,3
23,2,500,0.520717117,3
23,2,1000,0.183081487,3
23,2,1500,0.137563665,3
23,2,2000,0.110730711,3
23,2,2500,0.089930192,3
23,3,500,,3
23,3,1000,0.395992847,3
23,3,1500,0.213813653,3
23,3,2000,0.171177919,3
23,3,2500,0.148394297,3
23,4,500,,3
23,4,1000,0.605282287,3
23,4,1500,0.259482787,3
23,4,2000,0.195752395,3
23,4,2500,0.167031634,3
23,5,500,,3
23,5,1000,,3
23,5,1500,0.657458848,3
23,5,2000,0.342551852,3
23,5,2500,0.243592882,3
23,6,500,,3
23,6,1000,,3
23,6,1500,0.984115342,3
23,6,2000,0.695781521,3
23,6,2500,0.438267948,3
23,1,500,0.163918922,5
23,1,1000,0.090290265,5
23,1,1500,0.051117276,5
23,1,2000,0,5
23,1,2500,0,5
23,2,500,0.480464948,5
23,2,1000,0.171423394,5
23,2,1500,0.12345113,5
23,2,2000,0.097434422,5
23,2,2500,0.077895088,5
23,3,500,,5
23,3,1000,0.359082662,5
23,3,1500,0.197988489,5
23,3,2000,0.158533183,5
23,3,2500,0.133325287,5
23,4,500,,5
23,4,1000,0.558643689,5
23,4,1500,0.244209402,5
23,4,2000,0.182984439,5
23,4,2500,0.154571598,5
23,5,500,,5
23,5,1000,,5
23,5,1500,0.603858059,5
23,5,2000,0.311210706,5
23,5,2500,0.229554358,5
23,6,500,,5
23,6,1000,,5
23,6,1500,0.936964704,5
23,6,2000,0.640272809,5
23,6,2500,0.389968722,5
24,1,500,0.267686763,1
24,1,1000,0.159799464,1
24,1,1500,0.09442149,1
24,1,2000,0,1
24,1,2500,0,1
24,2,500,,1
24,2,1000,0.275310888,1
